-- state,locality,postcode_range
AC,Acrelândia,69945-000 a 69949-999
AC,Assis Brasil,69935-000 a 69939-999
AC,Brasiléia,69932-000 a 69933-999
AC,Bujari,69926-000 a 69926-999
AC,Capixaba,69931-000 a 69931-999
AC,Cruzeiro do Sul,69980-000 a 69981-999
AC,Epitaciolândia,69934-000 a 69934-999
AC,Feijó,69960-000 a 69969-999
AC,Jordão,69975-000 a 69979-999
AC,Manoel Urbano,69950-000 a 69954-999
AC,Marechal Thaumaturgo,69983-000 a 69984-999
AC,Mâncio Lima,69990-000 a 69999-999
AC,Plácido de Castro,69928-000 a 69929-999
AC,Porto Acre,69927-000 a 69927-999
AC,Porto Walter,69982-000 a 69982-999
AC,Rio Branco,69900-001 a 69924-999
AC,Rio Branco,69900-001 a 69923-999
AC,Rodrigues Alves,69985-000 a 69989-999
AC,Santa Rosa do Purus,69955-000 a 69959-999
AC,Sena Madureira,69940-000 a 69944-999
AC,Senador Guiomard,69925-000 a 69925-999
AC,Tarauacá,69970-000 a 69974-999
AC,Xapuri,69930-000 a 69930-999
AL,Anadia,57660-000 a 57669-999
AL,Arapiraca,57300-001 a 57319-999
AL,Arapiraca,57300-001 a 57317-999
AL,Atalaia,57690-000 a 57699-999
AL,Barra de Santo Antônio,57925-000 a 57929-999
AL,Barra de São Miguel,57180-000 a 57199-999
AL,Batalha,57420-000 a 57424-999
AL,Belo Monte,57435-000 a 57439-999
AL,Belém,57630-000 a 57634-999
AL,Boca da Mata,57680-000 a 57689-999
AL,Branquinha,57830-000 a 57839-999
AL,Cacimbinhas,57570-000 a 57579-999
AL,Cajueiro,57770-000 a 57779-999
AL,Campestre,57968-000 a 57969-999
AL,Campo Alegre,57250-000 a 57254-999
AL,Campo Grande,57350-000 a 57359-999
AL,Canapi,57530-000 a 57534-999
AL,Capela,57780-000 a 57799-999
AL,Carneiros,57535-000 a 57539-999
AL,Chã Preta,57760-000 a 57769-999
AL,Coité do Nóia,57325-000 a 57329-999
AL,Colônia Leopoldina,57975-000 a 57979-999
AL,Coqueiro Seco,57140-000 a 57149-999
AL,Coruripe,57230-000 a 57239-999
AL,Craíbas,57320-000 a 57324-999
AL,Delmiro Gouveia,57480-000 a 57489-999
AL,Dois Riachos,57560-000 a 57569-999
AL,Estrela de Alagoas,57625-000 a 57629-999
AL,Feira Grande,57340-000 a 57349-999
AL,Feliz Deserto,57220-000 a 57229-999
AL,Flexeiras,57995-000 a 57999-999
AL,Girau do Ponciano,57360-000 a 57369-999
AL,Ibateguara,57890-000 a 57899-999
AL,Igaci,57620-000 a 57624-999
AL,Igreja Nova,57280-000 a 57289-999
AL,Inhapi,57545-000 a 57549-999
AL,Jacaré dos Homens,57430-000 a 57434-999
AL,Jacuípe,57960-000 a 57964-999
AL,Japaratinga,57950-000 a 57954-999
